job_code,job_title,,,
862,Operators of electrical and electronic equipment
863,Operator of electrical and electronic parts and product manufacturing equipment
864,Electrical and electronic parts and product assembly source
87,Driving and transport related jobs
871,Train and train engineer
872,Cargo train conductor and related employees
873,Car driver
874,Goods movement equipment operator
875,Construction and mining machinery operators
876,Ship deck crew and related personnel
88,Machine operator related to water supply, sewage and recycling treatment
881,Water and sewage treatment system operator
882,Recycling treatment and incinerator operators
89,Wood, printing and other machine-manipulation
891,Wood and paper related machine operators
892,Machine operators related to printing and photographing
899,Other manufacturing related machine operators
91,Simple labor jobs related to construction and mining
910,Simple workers in construction and mining
92,Transportation related simple labor
921,Unloading and loading simple worker
922,Delivery man
93,Manufacturing-related simple labor
930,Simple workers related to manufacturing
94,Simple labor jobs related to cleaning and security
941,Cleaners and environmental cleaners
942,Guards and checkers
95,Simple labor jobs related to housework, food and sales
951,Housework and parenting helper
952,Simple food workers
953,Sales-related simple employee
99,Agriculture, forestry and fishing and other services simple labor
991,Simple workers related to agriculture, forestry and fishing
992,Employees related to meter reading, collection and parking
999,Other service related simple employees
1011,Military officer
1012,Long-term sergeant and warrant officer
